日期,时间,纬度方向,纬度,经度方向,经度,地面速度,海拔高度,卫星颗数,航向
2017年5月10日,9:32:38,N,40'47.533,E,111'41.856,22.6,1108m,5,253.6
2017年5月10日,9:32:39,N,40'47.532,E,111'41.852,20.9,1106m,5,254.3
2017年5月10日,9:32:39,N,40'47.532,E,111'41.852,20.9,1106m,5,254.3
2017年5月10日,9:32:41,N,40'47.557,E,111'41.837,22.8,1181m,6,252.0
2017年5月10日,9:32:42,N,40'47.563,E,111'41.830,22.6,1199m,6,255.4
2017年5月10日,9:32:43,N,40'47.561,E,111'41.826,26.3,1195m,6,257.0
2017年5月10日,9:32:44,N,40'47.560,E,111'41.821,26.9,1194m,6,258.9
2017年5月10日,9:32:45,N,40'47.559,E,111'41.815,27.2,1192m,6,260.2
2017年5月10日,9:32:46,N,40'47.560,E,111'41.810,27.0,1194m,6,259.4
2017年5月10日,9:32:47,N,40'47.558,E,111'41.806,25.7,1195m,6,252.7
2017年5月10日,9:32:48,N,40'47.558,E,111'41.800,27.2,1196m,6,257.7
2017年5月10日,9:32:49,N,40'47.555,E,111'41.796,27.6,1184m,7,259.9
2017年5月10日,9:32:50,N,40'47.551,E,111'41.791,26.9,1174m,7,258.7
2017年5月10日,9:32:51,N,40'47.549,E,111'41.787,23.9,1167m,7,254.0
2017年5月10日,9:32:52,N,40'47.547,E,111'41.783,20.6,1162m,8,254.8
2017年5月10日,9:32:53,N,40'47.548,E,111'41.779,19.8,1159m,8,259.7
2017年5月10日,9:32:54,N,40'47.547,E,111'41.776,17.8,1151m,8,273.7
2017年5月10日,9:32:55,N,40'47.547,E,111'41.771,17.2,1147m,8,298.6
2017年5月10日,9:32:56,N,40'47.549,E,111'41.769,20.4,1147m,8,327.2
2017年5月10日,9:32:57,N,40'47.552,E,111'41.767,24.3,1147m,8,338.5
2017年5月10日,9:32:58,N,40'47.556,E,111'41.766,30.2,1146m,8,341.1
2017年5月10日,9:32:59,N,40'47.560,E,111'41.764,34.3,1145m,8,340.4
2017年5月10日,9:33:0,N,40'47.565,E,111'41.762,37.2,1144m,8,339.9
2017年5月10日,9:33:1,N,40'47.571,E,111'41.759,41.1,1144m,8,339.6
2017年5月10日,9:33:2,N,40'47.577,E,111'41.757,42.0,1143m,8,339.2
2017年5月10日,9:33:3,N,40'47.583,E,111'41.754,43.2,1142m,8,338.7
2017年5月10日,9:33:4,N,40'47.589,E,111'41.751,41.7,1142m,8,339.4
2017年5月10日,9:33:5,N,40'47.595,E,111'41.748,41.1,1142m,8,339.1
2017年5月10日,9:33:6,N,40'47.601,E,111'41.746,40.6,1142m,8,339.9
2017年5月10日,9:33:7,N,40'47.607,E,111'41.743,39.6,1142m,8,340.3
2017年5月10日,9:33:8,N,40'47.613,E,111'41.741,38.2,1141m,8,341.2
2017年5月10日,9:33:9,N,40'47.618,E,111'41.738,34.8,1142m,8,342.0
2017年5月10日,9:33:10,N,40'47.623,E,111'41.737,30.6,1141m,8,342.1
2017年5月10日,9:33:11,N,40'47.627,E,111'41.735,27.4,1140m,9,342.6
2017年5月10日,9:33:12,N,40'47.631,E,111'41.734,24.4,1140m,9,342.9
2017年5月10日,9:33:13,N,40'47.634,E,111'41.733,21.5,1139m,9,343.2
2017年5月10日,9:33:14,N,40'47.637,E,111'41.732,18.0,1139m,9,343.4
2017年5月10日,9:33:15,N,40'47.639,E,111'41.731,14.8,1139m,10,343.5
2017年5月10日,9:33:16,N,40'47.641,E,111'41.730,13.1,1140m,8,343.4
2017年5月10日,9:33:17,N,40'47.643,E,111'41.730,13.0,1139m,8,343.3
2017年5月10日,9:33:18,N,40'47.645,E,111'41.729,12.4,1139m,8,343.0
2017年5月10日,9:33:19,N,40'47.646,E,111'41.728,10.4,1138m,8,343.0
2017年5月10日,9:33:20,N,40'47.647,E,111'41.728,7.2,1137m,8,338.0
2017年5月10日,9:33:21,N,40'47.648,E,111'41.727,4.4,1137m,8,338.0
2017年5月10日,9:33:22,N,40'47.648,E,111'41.727,2.6,1136m,8,338.0
2017年5月10日,9:33:23,N,40'47.648,E,111'41.727,1.7,1135m,9,338.0
2017年5月10日,9:33:24,N,40'47.648,E,111'41.727,1.7,1135m,9,338.0
2017年5月10日,9:33:25,N,40'47.617,E,111'41.721,2.0,1132m,10,338.0
2017年5月10日,9:33:26,N,40'47.617,E,111'41.720,2.0,1128m,9,338.0
2017年5月10日,9:33:27,N,40'47.617,E,111'41.721,1.9,1122m,9,338.0
2017年5月10日,9:33:28,N,40'47.618,E,111'41.722,2.4,1119m,9,338.0
2017年5月10日,9:33:29,N,40'47.618,E,111'41.722,2.8,1115m,9,338.0
2017年5月10日,9:33:30,N,40'47.618,E,111'41.723,0.0,1113m,9,338.0
2017年5月10日,9:33:31,N,40'47.617,E,111'41.726,0.0,1101m,10,338.0
2017年5月10日,9:33:32,N,40'47.616,E,111'41.728,0.0,1092m,10,338.0
2017年5月10日,9:33:33,N,40'47.617,E,111'41.734,0.0,1071m,10,338.0
2017年5月10日,9:33:34,N,40'47.617,E,111'41.736,0.0,1063m,10,338.0
2017年5月10日,9:33:35,N,40'47.617,E,111'41.736,0.2,1062m,10,338.0
2017年5月10日,9:33:36,N,40'47.618,E,111'41.736,0.4,1061m,10,338.0
2017年5月10日,9:33:37,N,40'47.618,E,111'41.736,0.6,1060m,10,338.0
2017年5月10日,9:33:38,N,40'47.619,E,111'41.735,0.6,1060m,10,338.0
2017年5月10日,9:33:39,N,40'47.620,E,111'41.735,0.2,1059m,10,338.0
2017年5月10日,9:33:40,N,40'47.620,E,111'41.735,0.0,1058m,9,338.0
2017年5月10日,9:33:41,N,40'47.621,E,111'41.735,0.0,1058m,9,338.0
2017年5月10日,9:33:42,N,40'47.621,E,111'41.735,0.0,1058m,9,338.0
2017年5月10日,9:33:43,N,40'47.621,E,111'41.735,0.0,1058m,9,338.0
2017年5月10日,9:33:44,N,40'47.621,E,111'41.735,0.0,1058m,9,338.0
2017年5月10日,9:33:45,N,40'47.621,E,111'41.735,0.0,1058m,9,338.0
2017年5月10日,9:33:46,N,40'47.621,E,111'41.735,0.0,1058m,9,338.0
2017年5月10日,9:33:47,N,40'47.621,E,111'41.735,0.0,1058m,9,338.0
2017年5月10日,9:33:48,N,40'47.621,E,111'41.735,0.0,1058m,9,338.0
2017年5月10日,9:33:49,N,40'47.621,E,111'41.735,0.0,1058m,9,338.0
2017年5月10日,9:33:50,N,40'47.621,E,111'41.735,0.0,1058m,9,338.0
2017年5月10日,9:33:51,N,40'47.621,E,111'41.735,0.0,1058m,9,338.0
2017年5月10日,9:33:52,N,40'47.621,E,111'41.735,0.0,1058m,9,338.0
2017年5月10日,9:33:53,N,40'47.621,E,111'41.735,0.0,1058m,9,338.0
2017年5月10日,9:33:54,N,40'47.621,E,111'41.735,0.0,1058m,9,338.0
2017年5月10日,9:33:55,N,40'47.621,E,111'41.735,0.0,1058m,9,338.0
2017年5月10日,9:33:56,N,40'47.621,E,111'41.735,0.0,1058m,9,338.0
2017年5月10日,9:33:57,N,40'47.621,E,111'41.735,0.0,1058m,10,338.0
2017年5月10日,9:33:58,N,40'47.621,E,111'41.735,0.0,1058m,10,338.0
2017年5月10日,9:33:59,N,40'47.621,E,111'41.735,0.0,1058m,10,338.0
2017年5月10日,9:34:0,N,40'47.621,E,111'41.735,0.0,1058m,10,338.0
2017年5月10日,9:34:1,N,40'47.621,E,111'41.735,0.0,1058m,9,338.0
2017年5月10日,9:34:2,N,40'47.621,E,111'41.735,0.0,1058m,9,338.0
2017年5月10日,9:34:3,N,40'47.621,E,111'41.735,0.0,1058m,9,338.0
2017年5月10日,9:34:4,N,40'47.621,E,111'41.735,0.0,1058m,9,338.0
2017年5月10日,9:34:5,N,40'47.621,E,111'41.735,0.0,1058m,9,338.0
2017年5月10日,9:34:6,N,40'47.621,E,111'41.735,0.0,1058m,9,338.0
2017年5月10日,9:34:7,N,40'47.621,E,111'41.735,0.0,1058m,9,338.0
2017年5月10日,9:34:8,N,40'47.621,E,111'41.735,0.0,1058m,9,338.0
2017年5月10日,9:34:9,N,40'47.622,E,111'41.734,1.1,1058m,9,338.0
2017年5月10日,9:34:10,N,40'47.622,E,111'41.734,1.5,1058m,9,338.0
2017年5月10日,9:34:11,N,40'47.623,E,111'41.734,1.9,1058m,10,338.0
2017年5月10日,9:34:12,N,40'47.623,E,111'41.734,2.4,1058m,10,338.0
2017年5月10日,9:34:13,N,40'47.623,E,111'41.734,3.1,1058m,10,338.0
2017年5月10日,9:34:14,N,40'47.624,E,111'41.734,4.3,1058m,10,338.0
2017年5月10日,9:34:15,N,40'47.624,E,111'41.733,5.7,1058m,10,339.1
2017年5月10日,9:34:16,N,40'47.626,E,111'41.733,2.8,1058m,10,340.7
2017年5月10日,9:34:17,N,40'47.626,E,111'41.733,0.0,1058m,10,340.7
2017年5月10日,9:34:18,N,40'47.627,E,111'41.733,0.0,1058m,10,340.7
2017年5月10日,9:34:19,N,40'47.627,E,111'41.733,0.0,1058m,10,340.7
2017年5月10日,9:34:20,N,40'47.627,E,111'41.733,0.0,1058m,9,340.7
2017年5月10日,9:34:21,N,40'47.627,E,111'41.733,0.0,1058m,9,340.7
2017年5月10日,9:34:22,N,40'47.627,E,111'41.733,0.0,1058m,9,340.7
2017年5月10日,9:34:23,N,40'47.627,E,111'41.733,0.0,1058m,8,340.7
2017年5月10日,9:34:24,N,40'47.627,E,111'41.733,0.0,1058m,10,340.7
2017年5月10日,9:34:25,N,40'47.627,E,111'41.733,0.0,1058m,9,340.7
2017年5月10日,9:34:26,N,40'47.627,E,111'41.733,0.0,1058m,9,340.7
2017年5月10日,9:34:27,N,40'47.627,E,111'41.733,0.0,1058m,9,340.7
2017年5月10日,9:34:28,N,40'47.627,E,111'41.733,0.0,1058m,10,340.7
2017年5月10日,9:34:29,N,40'47.627,E,111'41.733,0.0,1058m,10,340.7
2017年5月10日,9:34:30,N,40'47.627,E,111'41.733,0.0,1058m,10,340.7
2017年5月10日,9:34:31,N,40'47.627,E,111'41.733,0.0,1058m,10,340.7
